세무서코드,세무서명
100,서울청
101,종로
201,중부
104,남대문
106,용산
209,성북
110,서대문
105,마포
107,영등포
109,강서
117,양천
113,구로
108,동작
119,금천
145,관악
211,강남
120,삼성
214,서초
220,역삼
114,반포
206,성동
204,동대문
210,도봉
212,강동
215,송파
217,노원
230,잠실
146,중랑 
200,중부청
121,인천
122,북인천
137,서인천
131,남인천
130,부천
123,안양
138,동안양
134,안산
124,수원
135,동수원
125,평택
129,성남
126,이천
127,의정부
231,포천
132,남양주
128,고양
141,파주
140,시흥
142,용인
143,화성
144,분당
221,춘천
223,홍천
224,원주
225,영월
222,삼척
226,강릉
227,속초
233,경기광주
234,김포
232,동고양
235,광명
300,대전청
305,대전
314,서대전
301,청주
317,동청주
302,영동
303,충주
304,제천
307,공주
308,논산
313,보령
316,서산
310,홍성
311,예산
312,천안
319,아산
318,북대전
320,세종
400,광주청
408,광주
409,북광주
410,서광주
401,군산
402,전주
418,북전주
403,익산
404,정읍
407,남원
411,목포
412,나주
415,해남
416,순천
417,여수
500,대구청
502,동대구
503,서대구
514,남대구
504,북대구
515,경산
505,경주
506,포항
507,영덕
508,안동
510,김천
513,구미
511,상주
512,영주
600,부산청
602,중부산
603,서부산
605,부산진
617,수영
606,북부산
607,동래
621,금정
623,해운대
610,울산
620,동울산
608,마산
609,창원
615,김해
611,거창
612,통영
613,진주
616,제주
