세무서,법정동코드,주소-1,주소-2,주소-3,주소-4,사용유무,우편번호
101,1111010100,서울특별시,종로구,청운동,,Y,110-030
101,1111010200,서울특별시,종로구,신교동,,Y,110-032
101,1111010300,서울특별시,종로구,궁정동,,Y,110-031
101,1111010400,서울특별시,종로구,효자동,,Y,110-033
101,1111010500,서울특별시,종로구,창성동,,Y,110-034
101,1111010600,서울특별시,종로구,통의동,,Y,110-040
101,1111010700,서울특별시,종로구,적선동,,Y,110-052
101,1111010800,서울특별시,종로구,통인동,,Y,110-043
101,1111010900,서울특별시,종로구,누상동,,Y,110-041
101,1111011000,서울특별시,종로구,누하동,,Y,110-042
101,1111011100,서울특별시,종로구,옥인동,,Y,110-035
101,1111011200,서울특별시,종로구,체부동,,Y,110-045
101,1111011300,서울특별시,종로구,필운동,,Y,110-044
101,1111011400,서울특별시,종로구,내자동,,Y,110-053
101,1111011500,서울특별시,종로구,사직동,,Y,110-054
101,1111011600,서울특별시,종로구,도렴동,,Y,110-051
101,1111011700,서울특별시,종로구,당주동,,Y,110-071
101,1111011800,서울특별시,종로구,내수동,,Y,110-070
101,1111011900,서울특별시,종로구,세종로,,Y,110-050
101,1111012000,서울특별시,종로구,신문로1가,,Y,110-061
101,1111012100,서울특별시,종로구,신문로2가,,Y,110-062
101,1111012200,서울특별시,종로구,청진동,,Y,110-130
101,1111012300,서울특별시,종로구,서린동,,Y,110-110
101,1111012400,서울특별시,종로구,수송동,,Y,110-140
101,1111012500,서울특별시,종로구,중학동,,Y,110-150
101,1111012600,서울특별시,종로구,종로1가,,Y,110-121
101,1111012700,서울특별시,종로구,공평동,,Y,110-160
101,1111012800,서울특별시,종로구,관훈동,,Y,110-300
101,1111012900,서울특별시,종로구,견지동,,Y,110-170
101,1111013000,서울특별시,종로구,와룡동,,Y,110-360
101,1111013100,서울특별시,종로구,권농동,,Y,110-380
101,1111013200,서울특별시,종로구,운니동,,Y,110-350
101,1111013300,서울특별시,종로구,익선동,,Y,110-340
101,1111013400,서울특별시,종로구,경운동,,Y,110-310
101,1111013500,서울특별시,종로구,관철동,,Y,110-111
101,1111013600,서울특별시,종로구,인사동,,Y,110-290
101,1111013700,서울특별시,종로구,낙원동,,Y,110-320
101,1111013800,서울특별시,종로구,종로2가,,Y,110-122
101,1111013900,서울특별시,종로구,팔판동,,Y,110-220
101,1111014000,서울특별시,종로구,삼청동,,Y,110-230
101,1111014100,서울특별시,종로구,안국동,,Y,110-240
