행정구역,2008년_총인구수,2008년_세대수,2008년_세대당 인구,2008년_남자 인구수,2008년_여자 인구수,2008년_남여 비율,2009년_총인구수,2009년_세대수,2009년_세대당 인구,2009년_남자 인구수,2009년_여자 인구수,2009년_남여 비율,2010년_총인구수,2010년_세대수,2010년_세대당 인구,2010년_남자 인구수,2010년_여자 인구수,2010년_남여 비율,2011년_총인구수,2011년_세대수,2011년_세대당 인구,2011년_남자 인구수,2011년_여자 인구수,2011년_남여 비율,2012년_총인구수,2012년_세대수,2012년_세대당 인구,2012년_남자 인구수,2012년_여자 인구수,2012년_남여 비율,2013년_총인구수,2013년_세대수,2013년_세대당 인구,2013년_남자 인구수,2013년_여자 인구수,2013년_남여 비율,2014년_총인구수,2014년_세대수,2014년_세대당 인구,2014년_남자 인구수,2014년_여자 인구수,2014년_남여 비율,2015년_총인구수,2015년_세대수,2015년_세대당 인구,2015년_남자 인구수,2015년_여자 인구수,2015년_남여 비율,2016년_총인구수,2016년_세대수,2016년_세대당 인구,2016년_남자 인구수,2016년_여자 인구수,2016년_남여 비율
서울특별시  (1100000000),10200827,4097562,2.49,5061809,5139018,0.98,10208302,4116660,2.48,5059269,5149033,0.98,10312545,4224181,2.44,5111259,5201286,0.98,10249679,4192752,2.44,5073899,5175780,0.98,10195318,4177970,2.44,5041336,5153982,0.98,10143645,4182351,2.43,5007869,5135776,0.98,10103233,4194176,2.41,4979768,5123465,0.97,10022181,4189948,2.39,4930943,5091238,0.97,9930616,4189839,2.37,4876789,5053827,0.96
서울특별시 종로구 (1111000000),170705,74660,2.29,85398,85307,1,168603,74315,2.27,84257,84346,1,170578,77621,2.2,85182,85396,1,168382,76688,2.2,83931,84451,0.99,165207,75659,2.18,82274,82933,0.99,160070,73693,2.17,79519,80551,0.99,156993,73101,2.15,77621,79372,0.98,154986,72645,2.13,76548,78438,0.98,152737,72118,2.12,75201,77536,0.97
서울특별시 종로구 청운효자동(1111051500),16414,6372,2.58,8062,8352,0.97,15769,6105,2.58,7739,8030,0.96,15688,6236,2.52,7645,8043,0.95,15260,6060,2.52,7384,7876,0.94,15089,6023,2.51,7263,7826,0.93,14570,5895,2.47,6971,7599,0.92,14308,5830,2.45,6807,7501,0.91,14105,5744,2.46,6673,7432,0.9,13769,5658,2.43,6503,7266,0.89
서울특별시 종로구 사직동(1111053000),9943,4400,2.26,4683,5260,0.89,10029,4476,2.24,4732,5297,0.89,10203,4699,2.17,4796,5407,0.89,10150,4646,2.18,4701,5449,0.86,10033,4574,2.19,4661,5372,0.87,9875,4465,2.21,4609,5266,0.88,9774,4400,2.22,4571,5203,0.88,9700,4372,2.22,4506,5194,0.87,9695,4399,2.2,4429,5266,0.84
서울특별시 종로구 삼청동(1111054000),3671,1684,2.18,1777,1894,0.94,3548,1630,2.18,1715,1833,0.94,3517,1659,2.12,1690,1827,0.93,3415,1606,2.13,1643,1772,0.93,3322,1558,2.13,1584,1738,0.91,3218,1537,2.09,1557,1661,0.94,3058,1461,2.09,1465,1593,0.92,2960,1407,2.1,1393,1567,0.89,2903,1403,2.07,1377,1526,0.9
서울특별시 종로구 부암동(1111055000),11588,4607,2.52,5747,5841,0.98,11330,4508,2.51,5627,5703,0.99,11406,4630,2.46,5644,5762,0.98,11369,4611,2.47,5629,5740,0.98,11236,4566,2.46,5552,5684,0.98,11109,4563,2.43,5464,5645,0.97,10933,4494,2.43,5356,5577,0.96,10780,4427,2.44,5250,5530,0.95,10616,4371,2.43,5160,5456,0.95
서울특별시 종로구 평창동(1111056000),19353,7068,2.74,9424,9929,0.95,19384,7057,2.75,9355,10029,0.93,19566,7342,2.66,9415,10151,0.93,19677,7381,2.67,9443,10234,0.92,19543,7395,2.64,9359,10184,0.92,19544,7384,2.65,9315,10229,0.91,19393,7416,2.62,9207,10186,0.9,19212,7350,2.61,9112,10100,0.9,19290,7537,2.56,9140,10150,0.9
서울특별시 종로구 무악동(1111057000),8607,3161,2.72,4189,4418,0.95,8615,3179,2.71,4154,4461,0.93,8663,3293,2.63,4168,4495,0.93,8562,3271,2.62,4115,4447,0.93,8548,3220,2.65,4057,4491,0.9,8581,3219,2.67,4091,4490,0.91,8376,3174,2.64,3951,4425,0.89,8541,3142,2.72,4042,4499,0.9,8453,3056,2.77,3975,4478,0.89
서울특별시 종로구 교남동(1111058000),9163,4394,2.09,4484,4679,0.96,8936,4268,2.09,4404,4532,0.97,9140,4459,2.05,4507,4633,0.97,9048,4473,2.02,4493,4555,0.99,8185,4091,2,4066,4119,0.99,5347,2688,1.99,2640,2707,0.98,4921,2426,2.03,2382,2539,0.94,4797,2333,2.06,2305,2492,0.92,4679,2268,2.06,2229,2450,0.91
서울특별시 종로구 가회동(1111060000),5850,2510,2.33,2825,3025,0.93,5749,2458,2.34,2768,2981,0.93,5709,2535,2.25,2747,2962,0.93,5555,2469,2.25,2667,2888,0.92,5397,2408,2.24,2578,2819,0.91,5219,2336,2.23,2444,2775,0.88,5070,2286,2.22,2377,2693,0.88,4837,2195,2.2,2246,2591,0.87,4635,2131,2.18,2150,2485,0.87
